Last updated 01-02-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10990,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gold price - Key Currencies,,,,,,Gold price - Major consumer countries,,,,,,,,,,,,,Gold price - Major producer countries,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,National Currency Unit per troy ounce,,,,,,National Currency Unit per troy ounce,,,,,,,,,,,,,National Currency Unit per troy ounce,,,,
,,,,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,USD,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,EUR,RUB,USD,ZAR,CNY,CAD,AUD
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,1979/1/29,235.2,145.3,"46,917.3",117.9,279.3,395.3,"1,887.0",#N/A,235.2,#N/A,780.0,"146,264.7",896.1,"4,721.9",#N/A,#N/A,"115,498.5",145.3,#N/A,235.2,203.1,#N/A,279.3,206.0
,,,1979/1/30,233.5,144.1,"46,907.2",116.9,278.5,394.2,"1,921.6",#N/A,233.5,#N/A,777.9,"145,868.4",893.7,"4,709.1",#N/A,#N/A,"115,185.5",144.1,#N/A,233.5,203.1,#N/A,278.5,205.6
,,,1979/1/31,233.7,144.8,"45,160.3",117.4,267.1,379.3,"1,840.8",#N/A,233.7,#N/A,745.2,"139,739.3",856.1,"4,511.3",#N/A,#N/A,"108,235.8",144.8,#N/A,233.7,194.5,#N/A,267.1,197.2
,,,1979/2/1,229.4,142.9,"47,160.5",115.8,279.2,397.1,"1,927.1",#N/A,229.4,#N/A,780.1,"146,291.2",896.3,"4,722.8",#N/A,#N/A,"113,310.7",142.9,#N/A,229.4,202.3,#N/A,279.2,205.8
,,,1979/2/2,230.3,143.5,"46,328.3",116.3,275.5,393.0,"1,907.4",#N/A,230.3,#N/A,772.1,"144,790.6",887.1,"4,674.3",#N/A,#N/A,"112,148.3",143.5,#N/A,230.3,199.4,#N/A,275.5,203.5
,,,1979/2/5,243.1,150.3,"47,766.0",122.2,285.8,403.9,"1,971.9",#N/A,243.1,#N/A,800.5,"149,178.8",909.7,"4,797.3",#N/A,#N/A,"115,919.1",150.3,#N/A,243.1,207.0,#N/A,285.8,210.9
,,,1979/2/6,244.5,150.8,"48,317.7",122.6,289.7,408.7,"1,996.8",#N/A,244.5,#N/A,810.8,"151,091.6",921.4,"4,858.8",#N/A,#N/A,"117,405.4",150.8,#N/A,244.5,211.0,#N/A,289.7,214.0
,,,1979/2/7,251.6,153.7,"48,835.7",124.9,296.9,412.3,"2,031.0",#N/A,251.6,#N/A,824.6,"153,677.8",937.2,"4,942.0",#N/A,#N/A,"119,415.1",153.7,#N/A,251.6,215.6,#N/A,296.9,218.4
,,,1979/2/8,250.5,153.5,"50,293.3",124.9,303.3,420.6,"2,081.0",#N/A,250.5,#N/A,845.0,"157,467.5",960.3,"5,063.9",#N/A,#N/A,"122,359.8",153.5,#N/A,250.5,217.6,#N/A,303.3,223.1
,,,1979/2/9,246.8,151.3,"48,548.6",123.3,291.4,405.7,"2,000.9",#N/A,246.8,#N/A,812.6,"151,432.5",923.5,"4,869.8",#N/A,#N/A,"117,670.3",151.3,#N/A,246.8,208.8,#N/A,291.4,214.7
,,,1979/2/12,244.3,150.0,"49,820.4",121.9,298.0,415.4,"2,046.4",#N/A,244.3,#N/A,840.7,"156,000.0",961.5,"5,036.8",#N/A,#N/A,"120,300.1",150.0,#N/A,244.3,214.3,#N/A,298.0,220.0
,,,1979/2/13,240.6,148.1,"48,714.8",120.1,291.0,406.5,"2,000.6",#N/A,240.6,#N/A,822.1,"152,538.2",940.2,"4,925.1",#N/A,#N/A,"117,630.5",148.1,#N/A,240.6,208.7,#N/A,291.0,214.4
,,,1979/2/14,240.7,148.3,"47,638.5",120.0,283.2,397.9,"1,946.7",#N/A,240.7,#N/A,799.9,"148,426.1",914.9,"4,792.3",#N/A,#N/A,"114,459.4",148.3,#N/A,240.7,202.6,#N/A,283.2,209.9
,,,1979/2/15,247.8,152.4,"49,146.7",123.6,292.6,408.0,"2,008.3",#N/A,247.8,#N/A,825.2,"153,125.0",943.8,"4,944.0",#N/A,#N/A,"118,083.0",152.4,#N/A,247.8,209.8,#N/A,292.6,216.4
,,,1979/2/16,247.1,152.2,"49,351.9",123.3,293.5,411.9,"2,016.7",#N/A,247.1,#N/A,828.7,"153,764.4",947.8,"4,964.7",#N/A,#N/A,"118,576.0",152.2,#N/A,247.1,210.0,#N/A,293.5,217.2
,,,1979/2/19,248.1,152.8,"50,094.5",123.9,298.3,417.5,"2,047.4",#N/A,248.1,#N/A,839.9,"156,000.1",959.5,"5,087.3",#N/A,#N/A,"120,360.2",152.8,#N/A,248.1,213.6,#N/A,298.3,220.5
,,,1979/2/20,247.0,152.2,"49,921.7",123.2,296.4,414.5,"2,032.4",#N/A,247.0,#N/A,833.9,"154,884.1",952.7,"5,050.9",#N/A,#N/A,"119,499.2",152.2,#N/A,247.0,210.0,#N/A,296.4,219.3
,,,1979/2/21,250.8,154.6,"50,398.6",124.9,297.8,417.1,"2,039.2",#N/A,250.8,#N/A,836.7,"155,400.9",955.8,"5,067.8",#N/A,#N/A,"119,897.9",154.6,#N/A,250.8,211.0,#N/A,297.8,220.5
,,,1979/2/22,252.4,155.4,"50,607.4",125.6,300.2,420.5,"2,052.7",#N/A,252.4,#N/A,842.2,"156,429.9",962.2,"5,101.4",#N/A,#N/A,"120,691.8",155.4,#N/A,252.4,212.6,#N/A,300.2,222.3
,,,1979/2/23,251.0,154.4,"50,405.4",124.8,299.4,418.0,"2,042.0",#N/A,251.0,#N/A,837.8,"155,613.4",957.1,"5,074.7",#N/A,#N/A,"120,061.9",154.4,#N/A,251.0,211.7,#N/A,299.4,221.3
,,,1979/2/26,248.6,152.7,"50,592.6",123.0,299.7,416.8,"2,034.5",#N/A,248.6,#N/A,837.2,"156,436.9",957.4,"5,042.2",#N/A,#N/A,"119,622.7",152.7,#N/A,248.6,211.5,#N/A,299.7,221.7
,,,1979/2/27,247.9,152.5,"50,111.4",122.6,296.3,412.9,"2,012.7",#N/A,247.9,#N/A,828.3,"154,759.6",947.1,"4,988.2",#N/A,#N/A,"118,340.2",152.5,#N/A,247.9,210.3,#N/A,296.3,219.5
,,,1979/2/28,251.3,154.6,"50,209.1",124.2,295.5,413.6,"2,011.7",#N/A,251.3,#N/A,827.8,"154,683.1",946.6,"4,985.7",#N/A,#N/A,"119,929.3",154.6,#N/A,251.3,209.4,#N/A,295.5,219.6
,,,1979/3/1,248.8,153.3,"50,821.0",123.0,295.7,417.7,"2,023.9",#N/A,248.8,#N/A,832.9,"155,619.5",952.4,"5,015.9",#N/A,#N/A,"120,655.2",153.3,#N/A,248.8,210.2,#N/A,295.7,221.2
,,,1979/3/2,248.0,152.8,"50,920.8",122.7,295.0,417.3,"2,020.5",#N/A,248.0,#N/A,831.5,"155,360.1",950.8,"5,007.5",#N/A,#N/A,"120,454.2",152.8,#N/A,248.0,210.0,#N/A,295.0,221.3
,,,1979/3/5,238.2,147.0,"49,760.5",117.8,287.5,407.9,"1,972.1",#N/A,238.2,#N/A,813.9,"151,749.8",929.2,"4,898.6",#N/A,#N/A,"117,567.5",147.0,#N/A,238.2,204.8,#N/A,287.5,216.0
,,,1979/3/6,239.8,147.9,"48,982.7",118.4,283.9,401.2,"1,941.2",#N/A,239.8,#N/A,801.2,"149,377.6",914.7,"4,822.0",#N/A,#N/A,"115,729.6",147.9,#N/A,239.8,202.0,#N/A,283.9,212.9
,,,1979/3/7,242.3,149.1,"49,423.0",119.1,286.7,403.8,"1,954.0",#N/A,242.3,#N/A,806.5,"150,357.7",920.7,"4,853.7",#N/A,#N/A,"116,489.0",149.1,#N/A,242.3,204.0,#N/A,286.7,214.9
,,,1979/3/8,239.2,147.1,"48,791.8",117.1,281.9,397.9,"1,919.8",#N/A,239.2,#N/A,792.4,"147,726.4",904.6,"4,768.7",#N/A,#N/A,"114,450.4",147.1,#N/A,239.2,201.0,#N/A,281.9,212.2
,,,1979/3/9,241.0,148.4,"49,315.2",118.2,284.1,401.7,"1,938.1",#N/A,241.0,#N/A,799.9,"149,132.5",913.2,"4,814.1",#N/A,#N/A,"115,539.8",148.4,#N/A,241.0,202.7,#N/A,284.1,213.8
,,,1979/3/12,240.0,148.0,"49,652.4",117.6,283.9,403.5,"1,939.7",#N/A,240.0,#N/A,806.5,"150,625.1",924.6,"4,867.2",#N/A,#N/A,"115,638.2",148.0,#N/A,240.0,203.0,#N/A,283.9,214.5
,,,1979/3/13,239.1,147.8,"50,063.3",117.2,280.6,403.2,"1,963.4",#N/A,239.1,#N/A,801.7,"149,735.2",919.1,"4,838.5",#N/A,#N/A,"114,954.9",147.8,#N/A,239.1,202.2,#N/A,280.6,214.2
,,,1979/3/14,239.5,147.8,"49,758.4",117.6,281.1,402.8,"1,969.9",#N/A,239.5,#N/A,804.4,"150,232.0",922.2,"4,854.5",#N/A,#N/A,"115,336.3",147.8,#N/A,239.5,202.3,#N/A,281.1,214.3
,,,1979/3/15,240.1,148.2,"49,673.7",117.9,281.4,403.4,"1,970.1",#N/A,240.1,#N/A,804.4,"150,243.2",922.2,"4,854.9",#N/A,#N/A,"115,344.9",148.2,#N/A,240.1,202.1,#N/A,281.4,214.1
,,,1979/3/16,244.0,150.8,"49,687.0",120.2,280.8,403.1,"1,972.9",#N/A,244.0,#N/A,805.6,"150,461.7",923.6,"4,862.0",#N/A,#N/A,"115,512.7",150.8,#N/A,244.0,202.3,#N/A,280.8,214.0
,,,1979/3/19,242.3,149.7,"50,584.7",119.7,284.6,410.9,"2,016.9",#N/A,242.3,#N/A,821.2,"152,500.4",938.1,"4,947.8",#N/A,#N/A,"118,090.2",149.7,#N/A,242.3,206.3,#N/A,284.6,217.8
,,,1979/3/20,242.1,149.4,"50,126.5",119.1,283.0,407.5,"1,991.6",#N/A,242.1,#N/A,810.8,"150,580.7",926.3,"4,885.5",#N/A,#N/A,"116,603.6",149.4,#N/A,242.1,204.1,#N/A,283.0,216.0
,,,1979/3/21,239.9,148.3,"49,778.1",118.1,280.2,407.0,"1,977.7",#N/A,239.9,#N/A,805.2,"149,534.2",919.9,"4,851.6",#N/A,#N/A,"115,793.2",148.3,#N/A,239.9,203.4,#N/A,280.2,215.0
,,,1979/3/22,242.9,149.9,"49,959.6",119.4,283.7,410.3,"1,998.0",#N/A,242.9,#N/A,813.5,"151,066.3",929.3,"4,901.3",#N/A,#N/A,"116,979.6",149.9,#N/A,242.9,205.0,#N/A,283.7,216.9
,,,1979/3/23,242.5,149.7,"49,816.2",119.0,282.7,409.1,"1,987.5",#N/A,242.5,#N/A,809.2,"150,273.2",924.4,"4,875.6",#N/A,#N/A,"116,365.5",149.7,#N/A,242.5,204.0,#N/A,282.7,215.8
,,,1979/3/26,245.3,151.0,"50,353.1",119.4,285.2,411.0,"1,989.9",#N/A,245.3,#N/A,817.3,"152,687.7",933.9,"4,937.2",#N/A,#N/A,"116,508.1",151.0,#N/A,245.3,205.5,#N/A,285.2,217.5
,,,1979/3/27,244.4,150.7,"51,005.2",119.0,287.9,415.3,"2,006.2",#N/A,244.4,#N/A,824.0,"153,937.7",941.5,"4,977.6",#N/A,#N/A,"117,461.9",150.7,#N/A,244.4,208.4,#N/A,287.9,219.9
,,,1979/3/28,244.4,150.7,"50,684.1",119.3,283.7,410.5,"1,988.9",#N/A,244.4,#N/A,816.9,"152,609.9",933.4,"4,934.6",#N/A,#N/A,"116,448.7",150.7,#N/A,244.4,206.3,#N/A,283.7,218.1
,,,1979/3/29,241.5,149.1,"50,335.8",117.5,281.1,408.5,"1,966.0",#N/A,241.5,#N/A,807.5,"150,853.3",922.7,"4,877.8",#N/A,#N/A,"115,108.3",149.1,#N/A,241.5,203.9,#N/A,281.1,215.8
,,,1979/3/30,240.1,148.0,"50,274.3",116.2,278.2,406.2,"1,940.2",#N/A,240.1,#N/A,796.7,"148,844.2",910.4,"4,812.9",#N/A,#N/A,"116,123.6",148.0,#N/A,240.1,202.4,#N/A,278.2,214.6
,,,1979/4/2,239.7,148.5,"50,844.1",115.9,277.6,409.2,"1,948.1",#N/A,239.7,#N/A,807.9,"150,001.6",922.9,"4,849.6",#N/A,#N/A,"116,233.1",148.5,#N/A,239.7,203.1,#N/A,277.6,215.2
,,,1979/4/3,240.0,148.8,"51,208.1",116.2,278.1,409.0,"1,942.6",#N/A,240.0,#N/A,808.2,"150,047.9",923.1,"4,851.1",#N/A,#N/A,"116,269.0",148.8,#N/A,240.0,202.9,#N/A,278.1,215.6
,,,1979/4/4,239.8,148.5,"51,481.1",116.0,277.0,409.2,"1,940.8",#N/A,239.8,#N/A,807.5,"149,912.8",922.3,"4,846.8",#N/A,#N/A,"116,164.3",148.5,#N/A,239.8,202.7,#N/A,277.0,215.7
,,,1979/4/5,240.7,149.1,"51,850.4",116.0,277.0,411.9,"1,939.5",#N/A,240.7,#N/A,806.9,"149,806.9",921.7,"4,843.3",#N/A,#N/A,"116,082.2",149.1,#N/A,240.7,202.9,#N/A,277.0,216.3
,,,1979/4/6,239.8,148.5,"51,488.4",114.9,275.8,410.0,"1,922.7",#N/A,239.8,#N/A,799.9,"148,511.8",913.7,"4,801.5",#N/A,#N/A,"115,078.7",148.5,#N/A,239.8,203.4,#N/A,275.8,216.1
,,,1979/4/9,240.2,149.9,"51,461.3",114.7,276.3,414.6,"1,957.6",#N/A,240.2,#N/A,808.0,"150,000.1",919.2,"4,835.3",#N/A,#N/A,"114,762.1",149.9,#N/A,240.2,203.1,#N/A,276.3,215.6
,,,1979/4/10,239.8,149.3,"50,895.1",114.1,274.8,411.8,"1,946.3",#N/A,239.8,#N/A,803.6,"149,180.2",914.2,"4,808.8",#N/A,#N/A,"114,134.8",149.3,#N/A,239.8,202.6,#N/A,274.8,215.6
,,,1979/4/11,238.4,148.3,"50,867.5",114.2,274.3,410.2,"1,956.2",#N/A,238.4,#N/A,807.7,"149,938.7",918.8,"4,833.3",#N/A,#N/A,"114,715.2",148.3,#N/A,238.4,203.4,#N/A,274.3,216.0
,,,1979/4/12,234.0,145.9,"50,311.2",112.4,267.7,403.4,"1,917.6",#N/A,234.0,#N/A,824.3,"146,059.8",900.7,"4,740.5",#N/A,#N/A,"112,447.7",145.9,#N/A,234.0,198.5,#N/A,267.7,211.2
,,,1979/4/13,234.0,145.9,"50,311.2",112.4,267.7,403.4,"1,917.6",#N/A,234.0,#N/A,824.3,"146,059.8",900.7,"4,740.5",#N/A,#N/A,"112,447.7",145.9,#N/A,234.0,198.5,#N/A,267.7,211.2
,,,1979/4/16,234.0,145.9,"50,311.2",112.4,267.7,403.4,"1,917.6",#N/A,234.0,#N/A,824.3,"146,059.8",898.4,"4,740.5",#N/A,#N/A,"112,447.7",145.9,#N/A,234.0,198.5,#N/A,267.7,211.2
,,,1979/4/17,231.9,144.8,"50,326.7",111.2,264.9,399.2,"1,897.5",#N/A,231.9,#N/A,815.7,"144,532.0",889.0,"4,691.0",#N/A,#N/A,"111,271.5",144.8,#N/A,231.9,196.4,#N/A,264.9,209.3
,,,1979/4/18,233.2,145.4,"50,551.0",112.5,267.4,402.7,"1,931.5",#N/A,233.2,#N/A,830.3,"147,125.4",905.0,"4,775.1",#N/A,#N/A,"113,268.1",145.4,#N/A,233.2,199.3,#N/A,267.4,211.9
,,,1979/4/19,240.9,149.9,"52,131.7",115.9,275.6,413.5,"1,980.3",#N/A,240.9,#N/A,851.3,"150,839.7",927.8,"4,895.7",#N/A,#N/A,"116,127.6",149.9,#N/A,240.9,204.7,#N/A,275.6,217.5
,,,1979/4/20,236.4,147.7,"51,974.4",114.3,271.2,410.4,"1,965.6",#N/A,236.4,#N/A,844.9,"149,718.5",920.9,"4,859.3",#N/A,#N/A,"115,264.5",147.7,#N/A,236.4,201.7,#N/A,271.2,215.3
,,,1979/4/23,236.9,147.8,"51,665.5",114.5,270.3,407.1,"1,953.9",#N/A,236.9,#N/A,799.9,"147,936.1",908.6,"4,785.2",#N/A,#N/A,"114,579.4",147.8,#N/A,236.9,200.8,#N/A,270.3,213.8
,,,1979/4/24,239.7,149.3,"52,353.1",115.9,273.7,412.1,"1,982.1",#N/A,239.7,#N/A,811.4,"150,071.2",921.7,"4,854.3",#N/A,#N/A,"116,233.1",149.3,#N/A,239.7,203.1,#N/A,273.7,217.0
,,,1979/4/25,241.8,150.4,"52,722.5",118.4,275.5,414.5,"2,020.7",#N/A,241.8,#N/A,827.2,"152,995.7",939.7,"4,948.9",#N/A,#N/A,"118,498.2",150.4,#N/A,241.8,205.9,#N/A,275.5,219.1
,,,1979/4/26,242.2,150.7,"52,836.4",118.6,277.5,414.5,"2,025.1",#N/A,242.2,#N/A,829.0,"153,326.3",941.7,"4,959.6",#N/A,#N/A,"118,754.2",150.7,#N/A,242.2,205.7,#N/A,277.5,219.1
,,,1979/4/27,243.7,151.2,"53,323.2",118.6,277.2,416.3,"2,016.6",#N/A,243.7,#N/A,825.5,"152,682.6",937.7,"4,938.7",#N/A,#N/A,"118,255.7",151.2,#N/A,243.7,205.2,#N/A,277.2,219.9
,,,1979/4/30,245.3,152.8,"54,144.6",118.8,278.5,420.0,"2,013.1",#N/A,245.3,#N/A,819.4,"152,453.6",930.2,"4,891.0",#N/A,#N/A,"117,423.3",152.8,#N/A,245.3,206.9,#N/A,278.5,221.1
,,,1979/5/1,247.3,152.8,"54,994.6",119.6,281.6,423.9,"2,044.7",#N/A,247.3,#N/A,832.3,"154,846.9",944.8,"4,967.8",#N/A,#N/A,"119,266.6",152.8,#N/A,247.3,209.0,#N/A,281.6,223.9
,,,1979/5/2,246.3,153.2,"55,508.9",119.1,281.5,425.1,"2,036.1",#N/A,246.3,#N/A,828.8,"154,196.5",940.9,"4,946.9",#N/A,#N/A,"118,765.7",153.2,#N/A,246.3,209.3,#N/A,281.5,224.3
,,,1979/5/3,246.5,153.3,"55,244.1",118.7,281.3,423.5,"2,019.6",#N/A,246.5,#N/A,822.2,"152,968.1",933.4,"4,907.5",#N/A,#N/A,"117,819.5",153.3,#N/A,246.5,208.5,#N/A,281.3,223.3
,,,1979/5/4,248.5,154.5,"54,691.3",119.6,284.4,426.3,"2,034.5",#N/A,248.5,#N/A,838.8,"154,750.1",940.1,"5,002.4",#N/A,#N/A,"118,673.5",154.5,#N/A,248.5,209.1,#N/A,284.4,224.3
,,,1979/5/7,248.5,154.5,"54,691.3",119.6,284.4,426.3,"2,034.5",#N/A,248.5,#N/A,838.8,"154,750.1",940.1,"5,002.4",#N/A,#N/A,"118,673.5",154.5,#N/A,248.5,209.1,#N/A,284.4,224.3
,,,1979/5/8,249.0,154.8,"56,574.9",120.4,289.4,429.0,"2,066.0",#N/A,249.0,#N/A,852.0,"157,169.3",954.8,"5,080.6",#N/A,#N/A,"120,528.7",154.8,#N/A,249.0,211.2,#N/A,289.4,225.5
