Last updated 01-02-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10990,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gold price - Key Currencies,,,,,,Gold price - Major consumer countries,,,,,,,,,,,,,Gold price - Major producer countries,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,National Currency Unit per troy ounce,,,,,,National Currency Unit per troy ounce,,,,,,,,,,,,,National Currency Unit per troy ounce,,,,
,,,,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,USD,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,EUR,RUB,USD,ZAR,CNY,CAD,AUD
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,1984/4/10,381.4,417.8,"86,171.0",266.4,488.4,829.7,"4,107.5",#N/A,381.4,0.1,"1,346.9","382,967.4","1,404.6","8,737.2",#N/A,#N/A,"304,711.9",417.8,#N/A,381.4,475.7,#N/A,488.4,416.5
,,,1984/4/11,384.5,419.0,"85,273.2",266.8,488.9,828.8,"4,099.5",#N/A,384.5,0.1,"1,348.8","381,338.7","1,398.6","8,700.0",#N/A,#N/A,"303,416.0",419.0,#N/A,384.5,474.3,#N/A,488.9,413.4
,,,1984/4/12,381.9,417.9,"85,712.1",266.9,488.2,830.4,"4,127.0",#N/A,381.9,0.1,"1,349.3","383,301.5","1,405.8","8,744.8",#N/A,#N/A,"304,977.7",417.9,#N/A,381.9,475.3,#N/A,488.2,414.7
,,,1984/4/13,379.3,415.5,"85,345.7",265.2,485.9,826.9,"4,103.0",#N/A,379.3,0.1,"1,334.4","381,662.7","1,399.8","8,707.4",#N/A,#N/A,"303,673.7",415.5,#N/A,379.3,473.3,#N/A,485.9,412.9
,,,1984/4/16,380.1,418.5,"85,729.8",267.5,486.6,831.9,"4,127.3",#N/A,380.1,0.1,"1,339.7","381,624.7","1,344.4","8,760.2",#N/A,#N/A,"305,516.4",418.5,#N/A,380.1,473.7,#N/A,486.6,414.6
,,,1984/4/17,380.2,419.0,"85,671.2",267.7,486.6,834.0,"4,106.2",#N/A,380.2,0.1,"1,340.9","381,959.7","1,345.6","8,767.9",#N/A,#N/A,"305,784.6",419.0,#N/A,380.2,473.6,#N/A,486.6,413.1
,,,1984/4/18,380.5,420.2,"85,666.6",268.4,487.4,835.9,"4,118.8",#N/A,380.5,0.1,"1,341.1","383,136.6","1,349.7","8,794.9",#N/A,#N/A,"306,726.8",420.2,#N/A,380.5,475.1,#N/A,487.4,413.3
,,,1984/4/19,384.9,425.8,"86,580.9",271.3,493.3,845.5,"4,168.9",#N/A,384.9,0.1,"1,356.8","386,031.3","1,364.1","8,869.8",#N/A,#N/A,"310,000.3",425.8,#N/A,384.9,479.4,#N/A,493.3,417.3
,,,1984/4/20,384.9,425.8,"86,580.9",271.3,493.3,845.5,"4,168.9",#N/A,384.9,0.1,"1,356.8","386,031.3","1,364.1","8,869.8",#N/A,#N/A,"310,000.3",425.8,#N/A,384.9,479.4,#N/A,493.3,417.3
,,,1984/4/23,384.9,425.8,"86,580.9",271.3,493.3,845.5,"4,168.9",#N/A,384.9,0.1,"1,356.8","386,031.3","1,364.1","8,869.8",#N/A,#N/A,"310,000.3",425.8,#N/A,384.9,479.4,#N/A,493.3,417.3
,,,1984/4/24,383.3,428.1,"86,801.2",272.0,492.6,853.0,"4,186.5",#N/A,383.3,0.1,"1,356.4","388,230.6","1,371.9","8,920.3",#N/A,#N/A,"311,766.4",428.1,#N/A,383.3,481.9,#N/A,492.6,419.5
,,,1984/4/25,382.3,426.7,"86,309.8",270.9,488.9,848.2,"4,143.5",#N/A,382.3,0.1,"1,346.4","385,124.3","1,360.9","8,849.0",#N/A,#N/A,"309,271.9",426.7,#N/A,382.3,478.3,#N/A,488.9,415.9
,,,1984/4/26,379.9,426.5,"86,288.4",270.8,487.8,850.6,"4,171.6",#N/A,379.9,0.1,"1,347.4","386,849.2","1,367.0","8,888.6",#N/A,#N/A,"310,657.1",426.5,#N/A,379.9,477.4,#N/A,487.8,416.1
,,,1984/4/27,379.3,427.3,"85,654.7",270.6,483.2,844.4,"4,109.1",#N/A,379.3,0.1,"1,333.2","383,102.6","1,353.8","8,802.5",#N/A,#N/A,"307,648.4",427.3,#N/A,379.3,471.3,#N/A,483.2,410.8
,,,1984/4/30,375.8,425.2,"85,408.4",268.7,482.7,845.3,"4,094.2",#N/A,375.8,0.1,"1,324.2","377,814.4","1,381.1","8,608.1",#N/A,#N/A,"300,057.2",425.2,#N/A,375.8,472.1,#N/A,482.7,409.2
,,,1984/5/1,376.5,427.3,"85,371.6",269.3,485.5,845.0,"4,083.4",#N/A,376.5,0.1,"1,323.6","377,949.2","1,381.6","8,611.2",#N/A,#N/A,"300,164.3",427.3,#N/A,376.5,472.9,#N/A,485.5,407.0
,,,1984/5/2,377.4,428.8,"85,725.5",269.8,488.7,849.2,"4,106.4",#N/A,377.4,0.1,"1,328.1","378,918.9","1,385.1","8,633.3",#N/A,#N/A,"300,934.4",428.8,#N/A,377.4,473.4,#N/A,488.7,406.4
,,,1984/5/3,378.5,428.0,"85,788.2",268.4,487.4,850.5,"4,108.7",#N/A,378.5,0.1,"1,326.1","376,824.2","1,377.4","8,585.5",#N/A,#N/A,"299,270.8",428.0,#N/A,378.5,472.7,#N/A,487.4,404.1
,,,1984/5/4,376.7,427.8,"86,191.6",268.2,487.7,853.8,"4,166.8",#N/A,376.7,0.1,"1,339.5","382,488.6","1,382.8","8,721.5",#N/A,#N/A,"300,443.1",427.8,#N/A,376.7,476.5,#N/A,487.7,410.0
,,,1984/5/7,376.7,427.8,"86,191.6",268.2,487.7,853.8,"4,166.8",#N/A,376.7,0.1,"1,339.5","382,488.6","1,382.8","8,721.5",#N/A,#N/A,"300,443.1",427.8,#N/A,376.7,476.5,#N/A,487.7,410.0
,,,1984/5/8,371.5,429.4,"85,121.5",268.5,481.3,847.9,"4,074.7",#N/A,371.5,0.1,"1,305.7","381,314.9","1,378.6","8,694.8",#N/A,#N/A,"299,521.2",429.4,#N/A,371.5,474.1,#N/A,481.3,407.1
,,,1984/5/9,372.6,428.6,"85,309.4",268.1,482.4,849.1,"4,080.0",#N/A,372.6,0.1,"1,306.0","380,655.4","1,376.2","8,679.7",#N/A,#N/A,"299,003.1",428.6,#N/A,372.6,473.7,#N/A,482.4,408.1
,,,1984/5/10,371.8,428.6,"84,842.5",268.4,479.9,845.8,"4,048.8",#N/A,371.8,0.1,"1,300.0","379,466.3","1,371.9","8,652.6",#N/A,#N/A,"298,069.1",428.6,#N/A,371.8,476.3,#N/A,479.9,408.6
,,,1984/5/11,372.5,429.1,"85,942.3",269.1,482.7,854.0,"4,100.6",#N/A,372.5,0.1,"1,314.0","382,577.6","1,383.2","8,723.5",#N/A,#N/A,"300,513.1",429.1,#N/A,372.5,482.4,#N/A,482.7,414.6
,,,1984/5/14,372.6,427.4,"85,846.7",268.4,481.1,846.4,"4,051.6",#N/A,372.6,0.1,"1,303.8","373,366.3","1,359.9","8,504.4",#N/A,#N/A,"298,308.7",427.4,#N/A,372.6,480.9,#N/A,481.1,414.3
,,,1984/5/15,373.3,427.2,"86,632.5",269.0,483.1,850.2,"4,101.3",#N/A,373.3,0.1,"1,312.6","375,613.6","1,368.1","8,555.6",#N/A,#N/A,"300,104.3",427.2,#N/A,373.3,480.7,#N/A,483.1,415.3
,,,1984/5/16,375.3,427.8,"86,678.4",269.1,485.0,850.7,"4,109.6",#N/A,375.3,0.1,"1,321.4","375,229.9","1,366.7","8,546.9",#N/A,#N/A,"299,797.7",427.8,#N/A,375.3,480.5,#N/A,485.0,414.6
,,,1984/5/17,376.5,431.1,"87,576.7",269.6,487.2,856.2,"4,136.1",#N/A,376.5,0.1,"1,325.3","376,492.0","1,371.3","8,575.6",#N/A,#N/A,"300,806.1",431.1,#N/A,376.5,482.7,#N/A,487.2,419.2
,,,1984/5/18,375.6,432.7,"87,531.7",270.8,485.6,855.7,"4,134.1",#N/A,375.6,0.1,"1,321.5","377,460.8","1,374.8","8,597.7",#N/A,#N/A,"301,580.1",432.7,#N/A,375.6,483.8,#N/A,485.6,419.5
,,,1984/5/21,380.8,436.5,"88,686.6",273.6,492.2,864.3,"4,189.7",#N/A,380.8,0.1,"1,341.0","383,620.5","1,398.8","8,712.9",#N/A,#N/A,"304,852.9",436.5,#N/A,380.8,486.9,#N/A,492.2,424.2
,,,1984/5/22,379.5,433.2,"88,497.6",273.2,490.9,860.4,"4,179.6",#N/A,379.5,0.1,"1,335.5","383,098.3","1,396.9","8,701.0",#N/A,#N/A,"304,437.9",433.2,#N/A,379.5,485.3,#N/A,490.9,421.8
,,,1984/5/23,378.6,432.8,"87,736.3",274.2,490.1,860.2,"4,185.9",#N/A,378.6,0.1,"1,338.1","384,847.2","1,403.2","8,740.7",#N/A,#N/A,"305,827.7",432.8,#N/A,378.6,485.8,#N/A,490.1,419.2
,,,1984/5/24,375.7,429.8,"86,931.7",271.9,486.4,851.7,"4,116.1",#N/A,375.7,0.1,"1,315.6","381,317.5","1,390.4","8,660.6",#N/A,#N/A,"303,022.8",429.8,#N/A,375.7,481.2,#N/A,486.4,416.2
,,,1984/5/25,384.2,437.1,"88,480.5",278.1,493.8,857.3,"4,211.3",#N/A,384.2,0.1,"1,343.5","384,218.7","1,409.6","8,764.0",#N/A,#N/A,"307,221.5",437.1,#N/A,384.2,487.1,#N/A,493.8,423.3
,,,1984/5/28,384.2,437.1,"88,480.5",278.1,493.8,857.3,"4,211.3",#N/A,384.2,0.1,"1,343.5","384,218.7","1,409.6","8,764.0",#N/A,#N/A,"307,221.5",437.1,#N/A,384.2,487.1,#N/A,493.8,423.3
,,,1984/5/29,385.6,438.9,"89,352.0",278.2,499.1,870.6,"4,239.9",#N/A,385.6,0.1,"1,355.2","388,003.3","1,423.5","8,850.4",#N/A,#N/A,"310,247.7",438.9,#N/A,385.6,495.2,#N/A,499.1,428.5
,,,1984/5/30,386.4,439.9,"89,092.2",279.0,497.8,870.8,"4,234.2",#N/A,386.4,0.1,"1,355.8","387,478.0","1,421.6","8,838.4",#N/A,#N/A,"309,827.7",439.9,#N/A,386.4,494.1,#N/A,497.8,427.3
,,,1984/5/31,384.3,437.2,"88,828.1",277.3,496.2,866.8,"4,218.3",#N/A,384.3,0.1,"1,350.8","386,028.8","1,416.3","8,805.3",#N/A,#N/A,"306,067.7",437.2,#N/A,384.3,490.7,#N/A,496.2,426.4
,,,1984/6/1,393.8,447.2,"90,850.6",284.2,503.8,880.4,"4,297.5",#N/A,393.8,0.1,"1,383.6","392,069.9","1,438.4","8,943.1",#N/A,#N/A,"310,857.5",447.2,#N/A,393.8,498.4,#N/A,503.8,436.3
,,,1984/6/4,391.0,435.3,"90,177.6",279.1,510.9,878.6,"4,336.4",#N/A,391.0,0.1,"1,388.1","398,653.9","1,448.2","9,081.1",#N/A,#N/A,"311,445.1",435.3,#N/A,391.0,498.7,#N/A,510.9,436.5
,,,1984/6/5,393.8,440.5,"90,555.1",282.1,511.7,877.8,"4,322.1",#N/A,393.8,0.1,"1,387.5","399,574.2","1,451.5","9,102.1",#N/A,#N/A,"312,164.0",440.5,#N/A,393.8,499.5,#N/A,511.7,440.2
,,,1984/6/6,391.7,438.1,"90,390.9",279.3,510.9,878.0,"4,295.5",#N/A,391.7,0.1,"1,375.5","397,117.0","1,442.6","9,046.1",#N/A,#N/A,"310,244.4",438.1,#N/A,391.7,500.9,#N/A,510.9,437.6
,,,1984/6/7,392.2,441.3,"90,802.0",281.1,510.0,879.9,"4,295.2",#N/A,392.2,0.1,"1,379.7","397,688.8","1,444.7","9,059.1",#N/A,#N/A,"310,691.1",441.3,#N/A,392.2,500.8,#N/A,510.0,437.9
,,,1984/6/8,386.0,434.6,"89,629.6",276.7,503.0,870.6,"4,239.7",#N/A,386.0,0.1,"1,357.1","392,857.9","1,427.1","8,949.1",#N/A,#N/A,"306,917.0",434.6,#N/A,386.0,497.8,#N/A,503.0,431.5
,,,1984/6/11,382.5,433.0,"89,239.8",275.3,500.7,864.8,"4,223.9",#N/A,382.5,0.1,"1,353.1","388,859.0","1,415.4","8,834.3",#N/A,#N/A,"305,345.8",433.0,#N/A,382.5,497.3,#N/A,500.7,428.5
,,,1984/6/12,375.0,426.5,"87,184.8",271.3,485.9,855.6,"4,124.5",#N/A,375.0,0.1,"1,321.4","382,269.8","1,391.4","8,684.6",#N/A,#N/A,"300,171.7",426.5,#N/A,375.0,489.2,#N/A,485.9,419.7
,,,1984/6/13,374.0,423.9,"87,005.1",269.8,486.9,850.5,"4,109.5",#N/A,374.0,0.1,"1,313.5","380,593.1","1,385.3","8,646.5",#N/A,#N/A,"298,855.1",423.9,#N/A,374.0,485.0,#N/A,486.9,419.5
,,,1984/6/14,375.6,426.4,"86,910.1",271.1,488.9,852.8,"4,127.5",#N/A,375.6,0.1,"1,319.4","382,255.3","1,391.4","8,684.2",#N/A,#N/A,"300,160.4",426.4,#N/A,375.6,488.4,#N/A,488.9,422.5
,,,1984/6/15,368.0,420.7,"87,067.0",267.0,485.7,852.4,"4,115.9",#N/A,368.0,0.1,"1,312.2","382,050.5","1,390.6","8,679.6",#N/A,#N/A,"299,999.5",420.7,#N/A,368.0,488.8,#N/A,485.7,421.9
,,,1984/6/18,367.9,422.3,"86,247.0",267.5,480.1,846.0,"4,082.1",#N/A,367.9,0.1,"1,296.6","373,777.4","1,356.5","8,459.5",#N/A,#N/A,"297,035.4",422.3,#N/A,367.9,483.5,#N/A,480.1,418.4
,,,1984/6/19,370.6,425.4,"86,200.9",269.0,481.5,845.9,"4,078.1",#N/A,370.6,0.1,"1,300.3","374,043.1","1,357.4","8,465.6",#N/A,#N/A,"297,246.6",425.4,#N/A,370.6,481.7,#N/A,481.5,418.8
,,,1984/6/20,370.0,423.7,"86,303.5",268.6,482.9,849.5,"4,095.7",#N/A,370.0,0.1,"1,295.1","375,659.6","1,363.3","8,502.1",#N/A,#N/A,"298,531.2",423.7,#N/A,370.0,485.4,#N/A,482.9,419.6
,,,1984/6/21,370.8,429.0,"86,763.4",272.1,482.0,854.7,"4,095.9",#N/A,370.8,0.1,"1,300.8","377,957.1","1,371.7","8,554.1",#N/A,#N/A,"300,357.0",429.0,#N/A,370.8,487.7,#N/A,482.0,426.4
,,,1984/6/22,374.3,433.5,"87,986.0",274.4,487.3,862.8,"4,137.1",#N/A,374.3,0.1,"1,309.4","380,602.6","1,381.3","8,614.0",#N/A,#N/A,"302,459.3",433.5,#N/A,374.3,492.1,#N/A,487.3,429.5
,,,1984/6/25,369.3,430.7,"88,213.3",273.3,485.0,865.7,"4,107.0",#N/A,369.3,0.1,"1,302.4","374,841.4","1,361.8","8,452.6",#N/A,#N/A,"303,240.8",430.7,#N/A,369.3,498.9,#N/A,485.0,433.6
,,,1984/6/26,369.5,429.2,"87,574.4",273.4,485.7,860.0,"4,118.1",#N/A,369.5,0.1,"1,297.4","373,286.7","1,356.1","8,417.5",#N/A,#N/A,"301,983.0",429.2,#N/A,369.5,498.4,#N/A,485.7,429.3
,,,1984/6/27,369.3,428.6,"87,944.5",273.7,486.4,862.3,"4,132.5",#N/A,369.3,0.1,"1,301.0","375,156.7","1,362.9","8,459.7",#N/A,#N/A,"303,495.8",428.6,#N/A,369.3,501.9,#N/A,486.4,429.8
,,,1984/6/28,372.9,433.8,"88,298.4",276.3,488.9,867.2,"4,139.7",#N/A,372.9,0.1,"1,304.7","376,372.7","1,367.4","8,487.1",#N/A,#N/A,"304,479.5",433.8,#N/A,372.9,503.7,#N/A,488.9,429.0
,,,1984/6/29,373.1,431.9,"89,063.3",275.0,494.7,874.7,"4,178.2",#N/A,373.1,0.1,"1,317.7","378,159.6","1,373.8","8,527.4",#N/A,#N/A,"301,435.4",431.9,#N/A,373.1,508.4,#N/A,494.7,435.1
,,,1984/7/2,370.0,430.6,"88,350.4",273.9,487.6,867.7,"4,107.0",#N/A,370.0,0.1,"1,299.3","374,978.5","1,358.2","8,433.4",#N/A,#N/A,"298,790.4",430.6,#N/A,370.0,507.5,#N/A,487.6,431.1
,,,1984/7/3,368.4,438.1,"89,257.2",277.5,482.8,889.1,"4,181.6",#N/A,368.4,0.1,"1,309.5","380,895.8","1,379.7","8,566.5",#N/A,#N/A,"303,505.4",438.1,#N/A,368.4,528.4,#N/A,482.8,436.8
,,,1984/7/4,369.0,432.4,"88,625.4",276.2,489.3,874.5,"4,152.4",#N/A,369.0,0.1,"1,300.8","379,086.5","1,373.1","8,525.8",#N/A,#N/A,"302,063.8",432.4,#N/A,369.0,529.0,#N/A,489.3,432.9
,,,1984/7/5,364.8,425.6,"86,774.4",273.1,483.3,856.9,"4,099.6",#N/A,364.8,0.1,"1,280.2","374,684.7","1,357.2","8,426.8",#N/A,#N/A,"298,556.3",425.6,#N/A,364.8,516.5,#N/A,483.3,429.2
,,,1984/7/6,353.3,416.6,"86,273.4",268.1,474.0,853.9,"4,025.6",#N/A,353.3,0.1,"1,261.4","371,641.2","1,346.1","8,358.3",#N/A,#N/A,"296,131.2",416.6,#N/A,353.3,528.4,#N/A,474.0,424.4
,,,1984/7/9,338.5,399.2,"80,484.7",259.1,441.2,794.0,"3,779.3",#N/A,338.5,0.1,"1,171.3","339,728.1","1,225.4","7,647.6",#N/A,#N/A,"277,353.6",399.2,#N/A,338.5,496.4,#N/A,441.2,399.6
,,,1984/7/10,344.3,405.3,"83,573.6",262.9,459.1,825.4,"3,902.8",#N/A,344.3,0.1,"1,213.0","352,711.3","1,272.2","7,939.9",#N/A,#N/A,"287,953.1",405.3,#N/A,344.3,512.5,#N/A,459.1,415.6
,,,1984/7/11,339.3,401.7,"81,434.2",258.2,448.0,807.3,"3,759.8",#N/A,339.3,0.1,"1,174.6","341,039.9","1,230.1","7,677.2",#N/A,#N/A,"278,424.6",401.7,#N/A,339.3,499.1,#N/A,448.0,408.5
,,,1984/7/12,341.2,404.7,"82,407.4",261.0,453.0,817.6,"3,831.2",#N/A,341.2,0.1,"1,194.3","346,747.6","1,250.7","7,805.7",#N/A,#N/A,"283,084.4",404.7,#N/A,341.2,503.2,#N/A,453.0,409.9
,,,1984/7/13,345.0,407.0,"82,464.1",260.7,453.0,820.8,"3,838.0",#N/A,345.0,0.1,"1,201.2","344,542.3","1,242.8","7,756.0",#N/A,#N/A,"281,283.9",407.0,#N/A,345.0,501.9,#N/A,453.0,407.0
,,,1984/7/16,350.1,411.7,"84,663.6",264.0,467.1,839.3,"3,981.5",#N/A,350.1,0.1,"1,233.7","359,185.9","1,289.8","8,081.2",#N/A,#N/A,"289,465.9",411.7,#N/A,350.1,517.4,#N/A,467.1,420.3
,,,1984/7/17,347.2,411.7,"84,402.4",263.5,463.2,837.4,"3,951.4",#N/A,347.2,0.1,"1,225.6","356,679.2","1,280.8","8,024.8",#N/A,#N/A,"287,445.7",411.7,#N/A,347.2,518.3,#N/A,463.2,419.2
,,,1984/7/18,345.8,411.3,"84,210.9",263.2,460.6,838.2,"3,931.0",#N/A,345.8,0.1,"1,219.7","356,426.9","1,279.9","8,019.1",#N/A,#N/A,"287,242.4",411.3,#N/A,345.8,517.5,#N/A,460.6,418.7
,,,1984/7/19,350.2,415.6,"85,784.3",264.0,468.1,849.2,"3,972.9",#N/A,350.2,0.1,"1,230.0","359,151.9","1,289.7","8,080.5",#N/A,#N/A,"289,438.5",415.6,#N/A,350.2,521.5,#N/A,468.1,425.1
,,,1984/7/20,342.0,406.6,"84,727.7",258.3,460.1,838.1,"3,935.5",#N/A,342.0,0.1,"1,216.2","353,906.7","1,270.9","7,962.4",#N/A,#N/A,"285,211.4",406.6,#N/A,342.0,517.1,#N/A,460.1,418.7
,,,1984/7/23,335.0,400.6,"82,783.6",254.0,443.8,815.1,"3,837.4",#N/A,335.0,0.1,"1,175.7","342,570.2","1,229.5","7,674.8",#N/A,#N/A,"276,956.0",400.6,#N/A,335.0,517.7,#N/A,443.8,409.2
,,,1984/7/24,338.5,403.8,"83,054.7",255.6,445.0,822.9,"3,839.8",#N/A,338.5,0.1,"1,184.1","343,692.1","1,233.5","7,699.9",#N/A,#N/A,"277,863.0",403.8,#N/A,338.5,526.3,#N/A,445.0,408.6
,,,1984/7/25,341.8,405.3,"82,823.7",256.5,443.4,820.6,"3,831.9",#N/A,341.8,0.1,"1,183.3","341,426.0","1,225.4","7,649.2",#N/A,#N/A,"276,031.0",405.3,#N/A,341.8,523.3,#N/A,443.4,405.8
,,,1984/7/26,344.2,407.7,"83,982.1",258.6,453.2,837.2,"3,942.2",#N/A,344.2,0.1,"1,211.3","349,406.9","1,254.0","7,828.0",#N/A,#N/A,"282,483.2",407.7,#N/A,344.2,532.2,#N/A,453.2,409.3
,,,1984/7/27,335.3,401.8,"82,391.3",255.6,441.6,825.8,"3,882.8",#N/A,335.3,0.1,"1,182.2","345,453.9","1,239.8","7,739.4",#N/A,#N/A,"279,287.4",401.8,#N/A,335.3,533.8,#N/A,441.6,405.7
,,,1984/7/30,338.5,407.7,"83,284.3",258.8,445.8,835.4,"3,860.2",#N/A,338.5,0.1,"1,187.3","346,384.9","1,241.6","7,751.6",#N/A,#N/A,"282,534.2",407.7,#N/A,338.5,555.0,#N/A,445.8,408.6
,,,1984/7/31,342.4,412.7,"83,799.7",261.8,448.7,840.0,"3,919.9",#N/A,342.4,0.1,"1,201.3","349,071.9","1,251.2","7,811.7",#N/A,#N/A,"277,173.7",412.7,#N/A,342.4,569.8,#N/A,448.7,406.7
,,,1984/8/1,339.0,411.1,"82,770.7",260.4,441.7,830.3,"3,875.3",#N/A,339.0,0.1,"1,183.6","346,134.3","1,240.7","7,746.0",#N/A,#N/A,"274,841.1",411.1,#N/A,339.0,559.8,#N/A,441.7,405.1
,,,1984/8/2,344.0,414.1,"84,008.4",262.4,448.2,840.1,"3,914.9",#N/A,344.0,0.1,"1,205.8","349,668.7","1,253.3","7,825.1",#N/A,#N/A,"277,647.6",414.1,#N/A,344.0,556.5,#N/A,448.2,410.2
,,,1984/8/3,349.3,421.3,"84,953.3",266.4,450.9,846.2,"4,004.0",#N/A,349.3,0.1,"1,233.4","354,153.1","1,269.4","7,925.4",#N/A,#N/A,"281,208.3",421.3,#N/A,349.3,546.3,#N/A,450.9,416.4
,,,1984/8/6,349.3,418.9,"85,525.6",265.1,460.7,853.3,"4,092.4",#N/A,349.3,0.1,"1,242.2","365,239.3","1,299.7","8,144.7",#N/A,#N/A,"283,766.9",418.9,#N/A,349.3,554.9,#N/A,460.7,420.6
,,,1984/8/7,342.0,414.3,"84,628.1",261.9,451.6,850.9,"4,016.4",#N/A,342.0,0.1,"1,215.3","361,972.5","1,288.0","8,071.8",#N/A,#N/A,"281,228.9",414.3,#N/A,342.0,559.7,#N/A,451.6,411.9
,,,1984/8/8,344.5,416.7,"83,655.0",261.9,446.8,841.8,"3,931.2",#N/A,344.5,0.1,"1,203.9","356,971.4","1,270.3","7,960.3",#N/A,#N/A,"277,343.4",416.7,#N/A,344.5,545.9,#N/A,446.8,407.0
,,,1984/8/9,344.3,415.6,"83,720.8",262.5,451.0,840.5,"3,946.6",#N/A,344.3,0.1,"1,207.5","358,372.2","1,275.2","7,991.5",#N/A,#N/A,"278,431.7",415.6,#N/A,344.3,542.0,#N/A,451.0,409.6
,,,1984/8/10,346.8,417.5,"85,022.3",264.1,458.0,855.6,"4,047.7",#N/A,346.8,0.1,"1,230.0","364,514.7","1,297.1","8,128.5",#N/A,#N/A,"283,204.0",417.5,#N/A,346.8,554.1,#N/A,458.0,415.2
,,,1984/8/13,343.5,416.5,"83,681.1",263.1,447.8,840.8,"3,962.0",#N/A,343.5,0.1,"1,210.9","355,624.9","1,276.6","7,884.7",#N/A,#N/A,"278,736.5",416.5,#N/A,343.5,550.6,#N/A,447.8,407.7
,,,1984/8/14,354.0,425.5,"84,587.6",268.5,455.3,844.6,"4,002.2",#N/A,354.0,0.1,"1,236.6","358,072.1","1,285.4","7,938.9",#N/A,#N/A,"280,654.7",425.5,#N/A,354.0,544.0,#N/A,455.3,415.3
,,,1984/8/15,350.9,420.4,"85,592.9",265.8,461.4,853.3,"4,074.6",#N/A,350.9,0.1,"1,249.9","362,894.9","1,302.7","8,045.9",#N/A,#N/A,"284,434.7",420.4,#N/A,350.9,544.1,#N/A,461.4,418.9
,,,1984/8/16,352.3,419.5,"84,381.8",265.4,456.8,832.6,"4,019.9",#N/A,352.3,0.1,"1,236.8","357,480.2","1,283.3","7,925.8",#N/A,#N/A,"280,190.7",419.5,#N/A,352.3,534.2,#N/A,456.8,414.6
,,,1984/8/17,352.0,420.0,"84,580.2",266.2,457.8,835.8,"4,042.0",#N/A,352.0,0.1,"1,239.4","359,445.9","1,290.4","7,969.4",#N/A,#N/A,"281,731.5",420.0,#N/A,352.0,539.9,#N/A,457.8,411.6
,,,1984/8/20,349.3,418.4,"84,241.1",265.0,455.4,837.8,"4,046.2",#N/A,349.3,0.1,"1,237.2","363,536.7","1,286.6","8,012.9",#N/A,#N/A,"281,485.6",418.4,#N/A,349.3,539.7,#N/A,455.4,409.1
,,,1984/8/21,346.0,416.4,"83,653.6",263.5,450.0,831.9,"3,985.7",#N/A,346.0,0.1,"1,220.2","360,433.9","1,275.6","7,944.5",#N/A,#N/A,"279,083.1",416.4,#N/A,346.0,538.2,#N/A,450.0,404.9
,,,1984/8/22,345.0,415.0,"83,317.9",263.4,448.4,829.2,"3,976.9",#N/A,345.0,0.1,"1,218.4","361,259.7","1,278.5","7,962.7",#N/A,#N/A,"279,722.5",415.0,#N/A,345.0,538.7,#N/A,448.4,403.9
,,,1984/8/23,351.3,420.2,"84,643.7",267.5,457.0,839.1,"4,046.3",#N/A,351.3,0.1,"1,239.7","367,008.2","1,298.9","8,089.4",#N/A,#N/A,"284,173.6",420.2,#N/A,351.3,544.0,#N/A,457.0,409.8
,,,1984/8/24,350.0,419.4,"84,458.1",267.9,454.5,837.9,"4,048.6",#N/A,350.0,0.1,"1,239.7","365,904.8","1,300.1","8,035.6",#N/A,#N/A,"284,450.7",419.4,#N/A,350.0,544.0,#N/A,454.5,409.8
,,,1984/8/27,350.0,419.4,"84,458.1",267.9,454.5,837.9,"4,048.6",#N/A,350.0,0.1,"1,239.7","365,904.8","1,289.4","8,035.6",#N/A,#N/A,"284,450.7",419.4,#N/A,350.0,544.0,#N/A,454.5,409.8
,,,1984/8/28,349.8,420.5,"83,937.2",266.9,452.5,833.4,"3,994.4",#N/A,349.8,0.1,"1,229.0","362,497.1","1,277.4","7,960.8",#N/A,#N/A,"281,801.6",420.5,#N/A,349.8,540.2,#N/A,452.5,408.9
,,,1984/8/29,350.5,421.1,"83,918.9",266.4,452.5,834.6,"4,005.2",#N/A,350.5,0.1,"1,230.3","361,845.4","1,275.1","7,946.4",#N/A,#N/A,"281,295.0",421.1,#N/A,350.5,540.6,#N/A,452.5,407.5
,,,1984/8/30,347.3,418.3,"84,116.2",264.9,452.7,837.2,"4,036.1",#N/A,347.3,0.1,"1,231.2","362,983.1","1,279.1","7,971.4",#N/A,#N/A,"282,179.4",418.3,#N/A,347.3,545.0,#N/A,452.7,410.7
,,,1984/8/31,348.3,419.4,"84,035.3",266.1,450.8,837.7,"4,007.9",#N/A,348.3,0.1,"1,228.4","362,634.1","1,277.9","7,963.8",#N/A,#N/A,"281,185.0",419.4,#N/A,348.3,546.3,#N/A,450.8,409.8
